,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
200,14 likes,7 images,Giant TCR Advanced Disc 2 Pro Hematite,"2,680",Brand new,Meetup,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Frame : Giant TCR Advanced Disc 2 Pro Hematite
Condition : Brand New 
Frame size Available : M, ML, L
Groupset : Shimano 105 R7020 11 Speed Disc  
Wheelset : Giant PR-2
Price : $2680

We are BikeMartSG where we sell premium bicycle products at the most affordable pricing in Singapore.

Address : 140 Sims Avenue, Singapore 387462
Hours : Monday to Saturdays, 12pm to 7.30pm
",N,NA,NA,Y,Bikemart SG Pte. Ltd.,1.314273,103.878864,bikemartsg,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,185,https://www.carousell.sg/p/giant-tcr-advanced-disc-2-pro-hematite-1237959781/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=EO-DMEZWhyGo9GoT&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2578
201,8 likes,2 images,OPEN Cycle U.P. road gravel carbon frameset,"4,500",Brand new,Meetup,5 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,,N,NA,NA,Y,Serangoon Garden Way,1.363623,103.86754,tlce86,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,84,https://www.carousell.sg/p/open-cycle-u-p-road-gravel-carbon-frameset-1243576084/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=r2e0CzDL4Eoew7Kc&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=495
202,Like,10 images,Monton short Sleeve Cycling Jersey Bike Shirt Daily men and women,60,Brand new,Mailing · Meetup,16 hours ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"please visit 
scan my QR  s h o p e e  shop 
or whatsapp +6 5 8 2 8 6 0 8 5 2 for more offer

The Monton-Skull colors collaboration is inspired by an ancient custom in Thailand where there is an astrological rule that assigns a color to each day of the week based on the color of the God who protects the day. For example, the God of Sunday is Surya who has the color red. These colors of the day are traditional Thai birthday colors and it is widely believed that dressing in a certain color each day will bring you good luck. The code is: Monday, yellow; Tuesday, pink; Wednesday, green; Thursday, orange; Friday, blue; Saturday, purple; Sunday, red.

Built to breathe, this Lightweight cycling jersey is engineered for riding in hot and humid conditions. Signature premium DeanSilk fabric on front is soft, highly elastic and conforms to your body shape. New for 2020 the technical DeanDot fabric extends across the upper back panel and sleeves, which aids freedom of movement and ventilation. Fan-shaped mesh under the lower back panel promotes airflow allowing for optimum temperature regulation. Italian MARC waistband holds the jersey securely in place.

Features
Low cut collar
Classic set-in sleeves articulated for perfect fit on the bike
Italian MARC Waist Band
YKK vislon zipper with MONTON icon puller
Reinforced 3 back pockets with a bonus zippered security pocket
Reflective trim adds visibility in low light conditions
22°-40°C / 72°-104°F
DeanSilk: 88% polyester /12% Elastane, 120-130GSM
Fan-shaped mesh: 82% polyester /18% Elastane, 100GSM
DeanDot: 85% polyester /12% Elastane, 130GSM

DeanDot fabric is created to be extremely breathable, soft and comfortable. Excellent stretch to fit the body lines. It has a cooling function, and give antibacterial as well as the deodorizing effects.

1. The bacteriostatic rate against Staphylococcus aureus reaches 99.99% with the help of Bamboo charcoal fiber.
2. Cool sensation injection: You can feel the coolness after sweating. Active ingredients, embedded in a unique multi-layer micelle structure, could be triggered through humidity. The cooling effect would become gradually weaker with the increase of washing times.",Y,Standard delivery S$5,3 - 4 working days,Y,AMK Hub,1.36929383,103.84878497,danielisdaniel,Joined 5 years ago,NA,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/monton-short-sleeve-cycling-jersey-bike-shirt-daily-men-and-women-1244431556/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=53
204,17 likes,1 image,Scott Speedster S20,800,Well used,Meetup,1 month ago,Road Bikes,Posted,Has minor flaws or defects.,"Size 52. Fast race bike that can pack a punch if you have a strong engine. 

Not the best components in the world (as you would expect from a budget build) but components are well maintained a guaranteed  smooth ride away 😊

bike is repainted by previous owner to a nice colour way as well. 

come down to have a chat and we can discuss the price.

info for nerds:
Shimano Sora group an upgraded 10s RD.
semi-compact 50-38tooth chainring.

tags: trek, giant, specialized, sram, shimano, race bike, aluminum frame, alloy frame, aero bike, carbon fork",N,NA,NA,Y,Castle Green Clubhouse,1.38632612,103.84098475,61300,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,8,https://www.carousell.sg/p/scott-speedster-s20-1238407909/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2419
205,20 likes,5 images,Cervelo C-Series | All Round Endurance Road Bike | Size 51 | Fast and Smooth,"3,650",Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Sale 🔥🔥🔥

*Cervelo C2* All rounder Road bike 
If you’re looking for a bike that handles both the daily commute and epic rides on the weekend, the C2 is a great choice. It combines Cervélo’s high performance pedigree with more relaxed geometry, wider tires, and a vibration-damping frame for an affordable and versatile bike.

The C2 will encourage you to keep racking up the miles. Our Endurance Fit riding position is designed for riders who want to ride for longer; the frame is tuned to smooth road vibrations; and wider tires (up to 32mm wide) increase comfort and traction.

The C2’s user-friendly features include: disc brakes compatible with all commonly used calipers and rotor sizes; thru axles for improved alignment and safety; and a down tube guard and chain stay protector to help prevent damage on mixed surfaces.

The lighter the bike, the easier it is to keep moving. The C2’s carbon frame is engineered to prioritize light weight and vibration-damping. That means a bike that’ll dance up the hills and feel comfortable all day long.

Size 51 frame
Upgrades with 
Aero Handle bars 
FSA CF Stem 
FSA Gossamer Crankset 
FSA K-light Seatpost 
Newly changed chain FSA 
Genuine Zipp 303s wheelset with Tubeless tires just pumped sealant 
Shimano 105 7020 Group set 
Ciclovision bartape (new ) 
Bike is well taken care off 
Quiet and smooth 
Fast and comfortable 
Its versatile bike for straight or climb 
And its fun to ride 
I am 175cm in height but geometry is perfect for me 
Uncut steerer tube and lots of rooms for adjustments 

Tags: Cervelo , Not Trek , Specialized , Bianchi , BMC , Colnago , Giant , Polygon , Sworks , Ridley",N,NA,NA,Y,Queensway Shopping Centre,1.287386,103.803499,happyfindsSG,Joined 8 years ago,Mostly Responsive,Verified,NA,NA,NA,4.6,37,https://www.carousell.sg/p/cervelo-c-series-all-round-endurance-road-bike-size-51-fast-and-smooth-1240412059/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1793
206,78 likes,5 images,R7000 105 Road Bike Polygon Strattos S5,800,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bike is in very good condition, owned for abt 1yr+ already but rarely used.
Recently cleaned and serviced so shifting and braking are perfect. 

- M size (1.65-180m) 
- Recently changed bartape to Supacaz 
- Full 105 groupset
- Bike weighs 9.1kg

Bike will come with bottle cage and bag
PM for more info 😁😁",N,NA,NA,Y,Blk 276D Jurong West St 25,1.35376384,103.7043213,liang.yu,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/r7000-105-road-bike-polygon-strattos-s5-1242441350/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1019
207,96 likes,8 images,Vintage 80s Giant Peloton Superlite road bike,700 900,Lightly used,Meetup,4 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Letting  go a restored vintage Giant Peloton Superlite road bike.
Shimano 105 groupset. Weight under 10kg.
This bike is from the 80s.
52cm. Suitable for riders 165-175cm
Good condition, no repair required.
Will not reply to low ballers. 
Thank you for viewing 😊",N,NA,NA,Y,Rivervale Drive,1.38850805,103.9060092,rabbitears,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,44,https://www.carousell.sg/p/vintage-80s-giant-peloton-superlite-road-bike-1227935636/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rntPEaifUwt4DZ9B&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2270
208,19 likes,4 images,De Rosa vintage steel road bike,"1,600",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Full shimano 600 groupset 7 speed

Size:54

Effective top tube length:54cm",N,NA,NA,Y,Bus Stop 58129 (Blk 508 CP)Blk 508 MSCP (No. SWSB29)See 1+ locations,1.45283874,103.81978362,xiuting88,Joined 3 years ago,Mostly Responsive,Verified,NA,NA,NA,4.8,35,https://www.carousell.sg/p/de-rosa-vintage-steel-road-bike-1243120845/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=b1FV8RBgwscmiZ5G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=756
209,7 likes,1 image,Btwin Triban rc500 road bike,400,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Selling because don’t really ride it anymore. Will include extra tyres and a helmet 

Frame M size
24 gears
Can meet up anywhere 

Can nego 
Feel free to Dm me to ask any questions 
",N,NA,NA,Y,Everywhere At Singapore,1.3252754,103.8529514,0.______.8,Joined 9 months ago,Very Responsive,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/btwin-triban-rc500-road-bike-1243119548/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=b1FV8RBgwscmiZ5G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=757
210,5 likes,3 images,WTS: 2022 Nov Java Fuoco Aerobike Size48,"1,600",Lightly used,Mailing,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Ride less than 10 times, selling due to storage constraints. 
Additonal part:
1. After Market Bottom Bracket - $50 + installation fee
2. Front and Rear brake kit upgrade (enlarged rotor) - $280 
Price slightly negotiable and doorstep delivery possible with additional fee $30.00.

Bike still under warranty till 2023 Nov.
Lowballers will be ignored.",Y,Same day delivery S$20,Within 1 working day,N,NA,,,evik_,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,7,https://www.carousell.sg/p/wts-2022-nov-java-fuoco-aerobike-size48-1243847787/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=368
211,13 likes,3 images,Child’s Pinarello in excellent condition,750,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","My son had outgrown his Pinarello. Brilliant bike to get a child into cycling.

Spare tyres, tri suit and alternative handlebar stem also included.",N,NA,NA,Y,Spring Grove,1.29829352,103.82782729,mattgurn,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,4.9,19,https://www.carousell.sg/p/child’s-pinarello-in-excellent-condition-1242008096/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=4jo1em8ep1pg3CLJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1188
212,5 likes,2 images,BMX bike for children,25 35,Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,I12 Katongnear i12 Katong ,1.30567175,103.90477672,joochiatlady,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/bmx-bike-for-children-1240487644/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fmdU8BW1QNlmvc6V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1765
213,2 likes,3 images,Pinarello dogma f Myway rim and disc,"9,500",Brand new,Meetup,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,Brand new,N,NA,NA,Y,singapore,3.077163,101.642144,bicyclestuffs,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,28,https://www.carousell.sg/p/pinarello-dogma-f-myway-rim-and-disc-1238431958/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2410
214,19 likes,8 images,Canyon Roadlite CF8 M Size,"2,200",Well used,Meetup,1 month ago,Road Bikes,Posted,Has minor flaws or defects.,Link to bike information: ,N,NA,NA,Y,Tampines central 7 multi story carpark,1.356155,103.938382,larcshimada,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,21,https://www.carousell.sg/p/canyon-roadlite-cf8-m-size-1238433599/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2408
215,18 likes,8 images,Raleigh  USA Hybrid Road bike,349,Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Raleigh Atomic 13 SL Aluminium frame, XS Size suitable from 1.5m to 1.7m height
( Stem height extended for long distance riding comfort, bike is in tip top condition but with some scratches. This is USA frame, not the China made version)

Shimano  WH-R600 700c rim with Maxis tyres ( wheels are straight and true ) with 9 speed casette
3T stem with Aluminium Handlebar
Shimano Altus 9 speed shifter and rear derailleur
Shimano Tourney front derailleur (set at 2 speed)
Total 2 X 9 = 18 speed

Whoever buy this won't regret the condition as the mechanical parts are almost new and well taken care of.

Decluttering the space in my house.",N,NA,NA,Y,Yishun Street 22,1.43599965,103.83842461,dannisx,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,103,https://www.carousell.sg/p/raleigh-usa-hybrid-road-bike-1239613883/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=mHKXp9ZD-f3OwFol&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2023
216,9 likes,10 images,Java AURIGA Roadbike Shimano Sora Groupset with full internal routing cables  CARBON integrated handlebar <Cheap for entry level roadbike>  <Brand New In Box> <Preorder Only>,650,Brand new,Mailing,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Preorder only 
deposit needed to confirm order
overseas set, shipping by air: ~1 week to arrive after order has been placed 
Assembly & tuning of bike will be done after bike has arrived 
self collect at my place after.

Shimano Sora FD RD
Java carbon integrated handlebar 
Decaf crankset 
decaf shifters ( crispy shifting for price paid) In my opinion, it’s not a bad option at all for a cost saving non-shimano alternative at this price range 
Alloy wheels 
Decaf mechanical pull hydraulic brakes
(mechanical disc + hydraulic brake pads) 
",Y,Same day delivery Free,Within 1 working day,N,NA,,,roaddbikepro,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,4.9,126,https://www.carousell.sg/p/java-auriga-roadbike-shimano-sora-groupset-with-full-internal-routing-cables-carbon-integrated-handlebar-cheap-for-entry-level-roadbike-brand-new-in-box-preorder-only-1241530675/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=LcSLfmyp-7__plsS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1408
217,Like,1 image,"Lightweight 20 inch 6 Speed Gear Pink midletn Foldable bike Foldies Children Kid Adult Bicycle 16"" inch seat seat 26"" Put lady 20"" delivery baby food 27.5 mesh child children bag rack 29 24"" thermal kid adult WHATSAPP 89501850",190,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 




➡️ 10KG
➡️ 6 Speed Gear
➡️ 20"""" Wheel 
➡️ Ultralight Body Frame 
➡️  Gift 🎁 

✨ TESTING / SELF COLLECT Available
✨Same Day Delivery Available

MORE PHOTOS:
 bit.ly/3gxAIHB

Please whatsapp for inquiry 😊
🤙
🤙 wa.me/6589501850
🤙 wa.me/6589501850
🤙 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,,,hyperk,Joined 2 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/lightweight-20-inch-6-speed-gear-pink-midletn-foldable-bike-foldies-children-kid-adult-bicycle-16-inch-seat-seat-26-put-lady-20-delivery-baby-food-27-5-mesh-child-children-bag-rack-29-24-thermal-kid-adult-whatsapp-89501850-1238133296/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2513
218,2 likes,1 image,"Mountain bike 26"" 21 Speed MTB Gunsrose 6 blade Black thermal seat lady 29 food delivery adult 16 24 20 baby children 27.5 inch 26 mesh kid "" child bag front rack seat WHATSAPP 89501850",290,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 



🚲 Specs:
- Size options     : 26 inch
- Rim type            : 6 Blades
- Brake type         : Disc brakes     (Not cheap Calipers)
- Speeds              : 21 speeds        (For all situations)
- Suspension       : Front      
- Net Weight        : 14kg     
- Size recomm.   : 26in for 150-190cm

Please whatsapp for inquiry 😊
🤙
🤙 wa.me/6589501850
🤙 wa.me/6589501850
🤙 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$10,3 - 4 working days,N,NA,,,kinbay,Joined 2 years ago,Not Responsive,Verified,NA,NA,NA,3.0,3,https://www.carousell.sg/p/mountain-bike-26-21-speed-mtb-gunsrose-6-blade-black-thermal-seat-lady-29-food-delivery-adult-16-24-20-baby-children-27-5-inch-26-mesh-kid-child-bag-front-rack-seat-whatsapp-89501850-1238116164/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=EO-DMEZWhyGo9GoT&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2616
219,15 likes,3 images,Canyon Endurace 7 RB XS,"1,500",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","XS size ideal for 160-170cm 

Great entry bike for those starting into road bikes. Beat the Canyon waiting list!

Bike is less than a year old, lightly used. Still have box, instruction manual and tools that came with it. Selling to trade in for a foldie.

Key components can search on Canyon website. 
- Crank: Shimano 105 R7000 
- Wheelset: Fulcrum Racing 900
- Seat: Selle Italia Model X

For pick up. No lowballers.",N,NA,NA,Y,Upper Changi Road,1.33502324,103.95261543,joninsg,Joined 7 years ago,NA,Verified,NA,NA,NA,5.0,16,https://www.carousell.sg/p/canyon-endurace-7-rb-xs-1243933194/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=317
220,21 likes,6 images,Merida Cyclocross 100 CX Bike,650,Lightly used,Meetup,5 days ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Merida Cyclo Cross 100 is an entry-level Cyclocross bike that is perfect for all conditions of commuting or some weekend gravel grinding. Well suited to someone who is looking for a bike with the efficient riding position of a road bike, but a little sturdier with the added flexibility of off-road capable wheels.

Featuring the Merida Cyclo Cross Lite aluminum frame this bike will be stiff, light, and responsive. Whether you are getting into exploring the countryside or commuting in all conditions, the more upright riding position of this bike will give you great comfort, control, and confidence regardless of the surface you are riding on.

The Merida Cyclo Cross 100 is a fantastic choice if you are looking for a comfortable and efficient bike with more riding possibilities than a standard road bike.

This baby has been given the Unspokin' touch, she has been rebuilt from scratch and various replacement components to bring her back to life. She's an XS so 

Size 47 (XS)

Specifications

FRAME: CYCLO-CROSS LITE
FORK: Lightweight aluminium fork with disc mounts
DERAILLEUR REAR: Sram Apex 1
SHIFTERS: Sram Apex, 11 speed
BRAKE LEVER: Sram Apex 1 -BL
BRAKES: Sram Apex levers with Promax mechanical disc brakes, 160mm rotors
CHAINRING: FSA Vero Pro 40 teeth
CHAIN: KMC X11
HUBS: Alloy, sealed bearing, quick release
RIMS: MERIDA Comp, 22mm profile
CASSETTE: Sunrace CSMS8, 11 speed, 11-42 teeth
TYRES: Schwalbe Marathon
STEM: MERIDA Expert, 3d forged, 6061 aluminium, Oversize clamp, -6 degree
HANDLEBAR: MERIDA Expert double butted 6061 aluminium compact drop, oversize clamp
HEADSET: MERIDA M2339
SEAT POST: MERIDA Road Comp 12mm, 27.2mm offset
SADDLE: MERIDA Sport

All our project upcycle bikes are covered by a 3-month warranty for defects or mechanical malfunction. All project up-cycle bikes come with 1 free Lunch Break Tuneup (worth $30)

Drop by our store to test ride or find out more!",N,NA,NA,Y,Lorong Bakar Batu,1.32653745,103.87125564,unspokin,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,5.0,6,https://www.carousell.sg/p/merida-cyclocross-100-cx-bike-1222691798/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=554
221,Like,6 images,GIANT TCR ADVANCED 3 DISC,"1,650",Like new,Meetup,4 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"• S | Blue Ashes
• Frame: Advanced-Grade Composite, disc
•Fork: Advanced-Grade Composite, OverDrive steerer, disc
•Shock: N/A
•Handlebar & Stem: Giant Contact
•Seatpost: Giant Variant, composite
•Saddle: Giant Approach
•Pedals: Shimano
•Shifters, Front & Rear Derailleur: Shimano Tiagra
•Brakes & Brakes Levers: Shimano Tiagra hydraulic
•Cassette: Shimano Tiagra, 11x32
•Chain: X10-1
•Crankset: Shimano Tiagra, 34/50
•Bottom Bracket: Shimano, press fit
•Rims: Giant PR-2 Disc wheelset
•Hubs: Giant PR-2 Disc wheelset, 12mm thru-axle
•Spokes: Giant PR-2 Disc wheelset
•Tires: Giant Gavia Course 1, tubeless, 700x28mm (25c), folding
•Weight ≈ 8.9kg (EXTREMELY LIGHT)

‼️ OPEN TO REASONABLE NEGOTIATIONS ‼️ FAST DEAL ‼️",N,NA,NA,Y,Keat Hong LRT Station (BP3),1.37861811,103.74898044,wwgrx,Joined 9 months ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/giant-tcr-advanced-3-disc-1244494462/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2
222,20 likes,1 image,Giant TCR SL 0 Disc M,"2,599",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Frameset, Cockpit & BB only.

Giant TCR SL0 size M Raw Carbon
Slammed steerer
BBinfinite BB86-24
Pro Vibe Superlite Carbon Handle 400
Giant SLR Carbon Stem 120
No Bottle Cages
Computer Mount

",N,NA,NA,Y,Pasir Ris Link,1.377018,103.960602,galanted,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,170,https://www.carousell.sg/p/giant-tcr-sl-0-disc-m-1240314311/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1830
223,35 likes,2 images,Allez sprint,"2,500",Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Allez Sprint 2018 - Size 54cm (9/10)
Ulterga 6800 11 speed (8/10) 
Vision metron 40 wheelset (8/10)
Specialized power saddle - 143mm
Profile design traditional drop - 40cm
3T Stem 10 degree - 120mm

Suitable for beginners. 

Spare bike and have been in storage for awhile. Expect rust on the bolts other than that bike is 10/10 functional.

Does not come with pedals and Saddle bag. 

View to believe and price is NEGOTIABLE ",N,NA,NA,Y,Tampines East MRT Station (DT33),1.3562471,103.95483722,golfkilo,Joined 7 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,20,https://www.carousell.sg/p/allez-sprint-1238183275/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2475
